nu*k**2 sigma
1e-08 0.9779906570627078
1.1233240329780265e-08 0.9782097268790753
1.261856883066021e-08 0.9794393510526542
1.4174741629268047e-08 0.9797215949620129
1.592282793341094e-08 0.9800360176857685
1.7886495290574353e-08 0.980385986310458
2.009233002565046e-08 0.9807751565571307
2.2570197196339216e-08 0.9812074854193527
2.5353644939701113e-08 0.9826769134252298
2.848035868435799e-08 0.9832241799820882
3.1992671377973846e-08 0.983829560544515
3.593813663804626e-08 0.9844983357649634
4.037017258596558e-08 0.9862322626933547
4.534878508128582e-08 0.9870645573485454
5.094138014816375e-08 0.9879791891067057
5.72236765935022e-08 0.9899819176990933
6.42807311728432e-08 0.991103176905136
7.220809018385457e-08 0.9923284534875028
8.111308307896873e-08 0.9946760783671837
9.111627561154887e-08 0.9961557308837481
1.0235310218990269e-07 0.9987678683951692
1.1497569953977356e-07 1.0005365836700322
1.2915496650148827e-07 1.0024520200465008
1.45082877849594e-07 1.0055467482742855
1.6297508346206436e-07 1.0078085875723002
1.8307382802953697e-07 1.0112677514322377
2.0565123083486514e-07 1.0139189587003365
2.310129700083158e-07 1.0177890346859826
2.5950242113997374e-07 1.0208773013136827
2.915053062825176e-07 1.0241919695992605
3.2745491628777317e-07 1.0287881546767232
3.678379771828634e-07 1.032621745728766
4.1320124001153343e-07 1.0377676033333194
4.641588833612782e-07 1.0421822417658622
5.214008287999684e-07 1.0469008922860032
5.857020818056673e-07 1.0530086180862033
6.579332246575682e-07 1.0584140655473901
7.390722033525775e-07 1.0652498740650245
8.302175681319736e-07 1.0714216559026708
9.326033468832199e-07 1.0779968089814602
1.0476157527896663e-06 1.0860953215594675
1.1768119524349991e-06 1.0935709518826513
1.3219411484660288e-06 1.1026230024679586
1.4849682622544636e-06 1.1110990302152814
1.6681005372000591e-06 1.1201031937191548
1.873817422860383e-06 1.130794837393648
2.104904144512022e-06 1.1409657868544978
2.364489412645407e-06 1.1517528271160977
2.656087782946684e-06 1.1631873122373348
2.9836472402833405e-06 1.1764898304841662
3.3516026509388406e-06 1.1893438002431933
3.764935806792471e-06 1.202946019188215
4.229242874389499e-06 1.218552924306046
4.750810162102793e-06 1.233785287370388
5.336699231206302e-06 1.2498747199981926
5.994842503189409e-06 1.26685860828142
6.7341506577508285e-06 1.2847747154056646
7.564633275546291e-06 1.3049718923825386
8.497534359086437e-06 1.324894709060371
9.545484566618328e-06 1.345863567533038
1.072267222010323e-05 1.3679152238407355
1.2045035402587836e-05 1.391085305077881
1.3530477745798076e-05 1.4154078467835158
1.5199110829529332e-05 1.4409147708197643
1.7073526474706886e-05 1.4691037275020156
1.917910261672489e-05 1.49709543025621
2.1544346900318867e-05 1.5263492656396167
2.4201282647943835e-05 1.5568826135071618
2.71858824273294e-05 1.5887076684859585
3.053855508833412e-05 1.6218309498403864
3.4304692863149194e-05 1.656252969480912
3.8535285937105275e-05 1.6919681175504482
4.328761281083062e-05 1.7289648188283175
4.8626015800653536e-05 1.7672259985715435
5.462277217684337e-05 1.806729873607756
6.135907273413163e-05 1.8474510552569898
6.892612104349695e-05 1.8893619181866133
7.742636826811278e-05 1.9324341578334987
8.697490026177834e-05 1.976640433173234
9.770099572992247e-05 2.019938980833925
0.00010974987654930568 2.0663001363472144
0.0001232846739442066 2.113733373175412
0.00013848863713938718 2.1622291677496355
0.00015556761439304722 2.2117844479402695
0.0001747528400007683 2.262402585602656
0.00019630406500402724 2.314092993183234
0.00022051307399030456 2.366870390325398
0.0002477076355991709 2.4207538357642604
0.0002782559402207126 2.4757656372758223
0.00031257158496882353 2.531930256165461
0.0003511191734215127 2.589273312656631
0.0003944206059437656 2.647820776330943
0.00044306214575838776 2.7075983948909306
0.0004977023564332114 2.7686313795985775
0.0005590810182512223 2.8309443319565095
0.0006280291441834246 2.8945613684154554
0.0007054802310718645 2.9595063818318117
0.0007924828983539169 3.0258033719553796
0.0008902150854450393 3.093476782134456
0.001 3.1625517933871534
