nu*k**2 sigma
1e-08 0.975190237663501
1.1233240329780265e-08 0.9751902556567082
1.261856883066021e-08 0.9751902758688993
1.4174741629268047e-08 0.9751902985737261
1.592282793341094e-08 0.9751903240785863
1.7886495290574353e-08 0.9751903527287872
2.009233002565046e-08 0.975190384912219
2.2570197196339216e-08 0.9751904210646063
2.5353644939701113e-08 0.9751904616754089
2.848035868435799e-08 0.9751905072944435
3.1992671377973846e-08 0.9751905585393331
3.593813663804626e-08 0.9751906161038614
4.037017258596558e-08 0.9751906807673681
4.534878508128582e-08 0.9751907534053003
5.094138014816375e-08 0.975190835001059
5.72236765935022e-08 0.9751909266593132
6.42807311728432e-08 0.9751910296209526
7.220809018385457e-08 0.9751911452798835
8.111308307896873e-08 0.9751912752018931
9.111627561154887e-08 0.9751914211458457
1.0235310218990269e-07 0.9751915850874847
1.1497569953977356e-07 0.9751917692461702
1.2915496650148827e-07 0.9751919761149159
1.45082877849594e-07 0.9751922084941221
1.6297508346206436e-07 0.9751924695294667
1.8307382802953697e-07 0.975192762754469
2.0565123083486514e-07 0.9751930921382924
2.310129700083158e-07 0.9751934621394369
2.5950242113997374e-07 0.9751938777660477
2.915053062825176e-07 0.9751943446436437
3.2745491628777317e-07 0.9751948690911956
3.678379771828634e-07 0.9751954582065591
4.1320124001153343e-07 0.9751961199624278
4.641588833612782e-07 0.9751968633140907
5.214008287999684e-07 0.9751976983204476
5.857020818056673e-07 0.9751986362799009
6.579332246575682e-07 0.9751996898829579
7.390722033525775e-07 0.9752008733835761
8.302175681319736e-07 0.9752022027915617
9.326033468832199e-07 0.9752036960885826
1.0476157527896663e-06 0.9752053734706827
1.1768119524349991e-06 0.9752072576205377
1.3219411484660288e-06 0.9752093740130571
1.4849682622544636e-06 0.9752117512584145
1.6681005372000591e-06 0.9752144214870266
1.873817422860383e-06 0.9752174207815735
2.104904144512022e-06 0.975220789661755
2.364489412645407e-06 0.9752245736281331
2.656087782946684e-06 0.9752288237721778
2.9836472402833405e-06 0.9752335974604505
3.3516026509388406e-06 0.9752389591017783
3.764935806792471e-06 0.9752449810073247
4.229242874389499e-06 0.9752517443545332
4.750810162102793e-06 0.9762349032514213
5.336699231206302e-06 0.97624378796297
5.994842503189409e-06 0.9762537656570971
6.7341506577508285e-06 0.9762649704189035
7.564633275546291e-06 0.9762775526867293
8.497534359086437e-06 0.976291681221964
9.545484566618328e-06 0.9763075453098555
1.072267222010323e-05 0.9763253572168366
1.2045035402587836e-05 0.9763453549323131
1.3530477745798076e-05 0.9763678052254164
1.5199110829529332e-05 0.9763930070499189
1.7073526474706886e-05 0.9764212953332659
1.917910261672489e-05 0.97645304518854
2.1544346900318867e-05 0.9764886765909981
2.4201282647943835e-05 0.9765286595636721
2.71858824273294e-05 0.976573519919218
3.053855508833412e-05 0.9766238456077774
3.4304692863149194e-05 0.9766802937229083
3.8535285937105275e-05 0.9767435982196432
4.328761281083062e-05 0.976814578400348
4.8626015800653536e-05 0.976894148225212
5.462277217684337e-05 0.9769833265049697
6.135907273413163e-05 0.9770832480338212
6.892612104349695e-05 0.9771951757206921
7.742636826811278e-05 0.9773205137772127
8.697490026177834e-05 0.9774608220216344
9.770099572992247e-05 0.9776178313599367
0.00010974987654930568 0.9777934605096945
0.0001232846739442066 0.9779898340400662
0.00013848863713938718 0.9782093018141489
0.00015556761439304722 0.9794401167688492
0.0001747528400007683 0.9797235591910997
0.00019630406500402724 0.9800397243814843
0.00022051307399030456 0.9803921810896996
0.0002477076355991709 0.9807848536229813
0.0002782559402207126 0.9812220542361787
0.00031257158496882353 0.9827027150730292
0.0003511191734215127 0.9832606844989021
0.0003944206059437656 0.9838804749296451
0.00044306214575838776 0.9855580642737855
0.0004977023564332114 0.9863435010012642
0.0005590810182512223 0.9872141163426645
0.0006280291441834246 0.989185260439533
0.0007054802310718645 0.9902821832430204
0.0007924828983539169 0.9925118572976604
0.0008902150854450393 0.9948925578161207
0.001 0.9974514366354852
