nu*k**2 sigma
1e-08 0.9751902376637986
1.1233240329780265e-08 0.9751902556570843
1.261856883066021e-08 0.9751902758693741
1.4174741629268047e-08 0.9751902985743244
1.592282793341094e-08 0.9751903240793417
1.7886495290574353e-08 0.97519035272974
2.009233002565046e-08 0.9751903849134216
2.2570197196339216e-08 0.9751904210661239
2.5353644939701113e-08 0.9751904616773239
2.848035868435799e-08 0.9751905072968603
3.1992671377973846e-08 0.9751905585423823
3.593813663804626e-08 0.975190616107708
4.037017258596558e-08 0.9751906807722232
4.534878508128582e-08 0.9751907534114265
5.094138014816375e-08 0.9751908350087888
5.72236765935022e-08 0.9751909266690671
6.42807311728432e-08 0.9751910296332605
7.220809018385457e-08 0.9751911452954144
8.111308307896873e-08 0.9751912752214908
9.111627561154887e-08 0.9751914211705757
1.0235310218990269e-07 0.975191585118689
1.1497569953977356e-07 0.9751917692855454
1.2915496650148827e-07 0.9751919761646016
1.45082877849594e-07 0.9751922085568174
1.6297508346206436e-07 0.975192469608578
1.8307382802953697e-07 0.9751927628542952
2.0565123083486514e-07 0.9751930922642563
2.310129700083158e-07 0.9751934622983827
2.5950242113997374e-07 0.9751938779666097
2.915053062825176e-07 0.9751943448967189
3.2745491628777317e-07 0.975194869410532
3.678379771828634e-07 0.9751954586095047
4.1320124001153343e-07 0.9751961204708702
4.641588833612782e-07 0.9751968639556488
5.214008287999684e-07 0.9751976991299686
5.857020818056673e-07 0.9751986373013539
6.579332246575682e-07 0.9751996911718184
7.390722033525775e-07 0.9752008750098377
8.302175681319736e-07 0.9752022048435366
9.326033468832199e-07 0.9752036986776906
1.0476157527896663e-06 0.9752053767374969
1.1768119524349991e-06 0.9752072617424065
1.3219411484660288e-06 0.9752093792137232
1.4849682622544636e-06 0.9752117578201425
1.6681005372000591e-06 0.9752144297658987
1.873817422860383e-06 0.9752174312267812
2.104904144512022e-06 0.9752208028399244
2.364489412645407e-06 0.9752245902539983
2.656087782946684e-06 0.9752288447472504
2.9836472402833405e-06 0.9752336239217687
3.3516026509388406e-06 0.975238992483362
3.764935806792471e-06 0.975245023117623
4.229242874389499e-06 0.9762270519083519
4.750810162102793e-06 0.9762349787805933
5.336699231206302e-06 0.9762438832266874
5.994842503189409e-06 0.9762538858049868
6.7341506577508285e-06 0.9762651219415811
7.564633275546291e-06 0.9762777437638556
8.497534359086437e-06 0.976291922160156
9.545484566618328e-06 0.9763078490934703
1.072267222010323e-05 0.9763257402004337
1.2045035402587836e-05 0.9763458377108614
1.3530477745798076e-05 0.9763684137273284
1.5199110829529332e-05 0.9763937739091946
1.7073526474706886e-05 0.9764222616109651
1.917910261672489e-05 0.9764542625310095
2.1544346900318867e-05 0.9764902099335717
2.4201282647943835e-05 0.9765305905147934
2.71858824273294e-05 0.9765759509921454
3.053855508833412e-05 0.9766269055065018
3.4304692863149194e-05 0.976684143937068
3.8535285937105275e-05 0.9767484412417322
4.328761281083062e-05 0.9768206679493172
4.8626015800653536e-05 0.9769018019457708
5.462277217684337e-05 0.9769929417138785
6.135907273413163e-05 0.9770953212057535
6.892612104349695e-05 0.9772103265494612
7.742636826811278e-05 0.9773395148159689
8.697490026177834e-05 0.9774846351005151
9.770099572992247e-05 0.9776476522038194
0.00010974987654930568 0.9778307732337471
0.0001232846739442066 0.9780364774876088
0.00013848863713938718 0.9792510414620034
0.00015556761439304722 0.9795209935637584
0.0001747528400007683 0.9798242372474139
0.00019630406500402724 0.980164878165112
0.00022051307399030456 0.9805475282945787
0.0002477076355991709 0.9819618757731802
0.0002782559402207126 0.9824632966151488
0.00031257158496882353 0.9830265546975677
0.0003511191734215127 0.9846481481215746
0.0003944206059437656 0.9853852233241969
0.00044306214575838776 0.9872054092897034
0.0004977023564332114 0.9881687099723906
0.0005590810182512223 0.9902661638409794
0.0006280291441834246 0.9925380212508255
0.0007054802310718645 0.9950202036719334
0.0007924828983539169 0.9987604002077024
0.0008902150854450393 1.0028281960760759
0.001 1.0083194192609368
