nu*k**2 sigma
0.001 0.0009999999999999458
0.0011233240329780276 0.0011233240329780508
0.0012618568830660211 0.0012618568830660448
0.0014174741629268048 0.0014174741629267857
0.0015922827933410922 0.0015922827933411187
0.001788649529057435 0.0017886495290574387
0.002009233002565048 0.00200923300256503
0.002257019719633919 0.002257019719633932
0.0025353644939701114 0.002535364493970125
0.002848035868435802 0.002848035868435799
0.0031992671377973846 0.0031992671377974445
0.003593813663804626 0.0035938136638045816
0.004037017258596553 0.004037017258596532
0.004534878508128582 0.004534878508128585
0.0050941380148163806 0.005094138014816443
0.00572236765935022 0.005722367659350209
0.006428073117284319 0.00642807311728437
0.007220809018385464 0.007220809018385486
0.008111308307896872 0.008111308307896864
0.009111627561154887 0.009111627561154934
0.010235310218990263 0.010235310218990247
0.011497569953977356 0.011497569953977436
0.01291549665014884 0.01291549665014887
0.014508287784959394 0.014508287784959401
0.016297508346206444 0.016297508346206416
0.01830738280295368 0.018307382802953676
0.020565123083486514 0.020565123083486552
0.02310129700083159 0.02310129700083159
0.02595024211399736 0.0259502421139974
0.029150530628251757 0.029150530628251726
0.03274549162877728 0.032745491628777317
0.036783797718286326 0.03678379771828634
0.04132012400115337 0.04132012400115335
0.046415888336127795 0.04641588833612777
0.052140082879996844 0.05214008287999681
0.05857020818056667 0.05857020818056672
0.0657933224657568 0.06579332246575675
0.07390722033525779 0.07390722033525778
0.08302175681319744 0.08302175681319743
0.093260334688322 0.09326033468832202
0.10476157527896651 0.10476157527896647
0.11768119524349979 0.11768119524349972
0.13219411484660287 0.13219411484660282
0.1484968262254465 0.1484968262254465
0.1668100537200059 0.16681005372000582
0.1873817422860383 0.18738174228603832
0.21049041445120198 0.21049041445120192
0.23644894126454072 0.23644894126454077
0.26560877829466867 0.2656087782946687
0.298364724028334 0.2983647240283341
0.3351602650938841 0.3351602650938841
0.37649358067924676 0.37649358067924676
0.4229242874389499 0.4229242874389499
0.4750810162102798 0.47508101621027976
0.5336699231206307 0.5336699231206307
0.5994842503189409 0.5994842503189409
0.6734150657750821 0.6734150657750821
0.7564633275546291 0.7564633275546289
0.8497534359086438 0.8497534359086439
0.9545484566618337 0.9545484566618336
1.072267222010323 1.072267222010323
1.2045035402587825 1.2045035402587827
1.3530477745798062 1.353047774579806
1.5199110829529332 1.519911082952933
1.7073526474706904 1.7073526474706902
1.9179102616724888 1.9179102616724888
2.1544346900318843 2.1544346900318843
2.420128264794381 2.420128264794381
2.71858824273294 2.7185882427329404
3.0538555088334154 3.053855508833415
3.4304692863149193 3.430469286314919
3.8535285937105273 3.8535285937105273
4.328761281083057 4.328761281083058
4.862601580065354 4.862601580065354
5.462277217684343 5.462277217684344
6.13590727341317 6.135907273413169
6.892612104349695 6.892612104349694
7.742636826811269 7.742636826811268
8.697490026177835 8.697490026177837
9.770099572992246 9.770099572992246
10.974987654930567 10.974987654930565
12.32846739442066 12.328467394420661
13.848863713938718 13.84886371393872
15.556761439304722 15.556761439304719
17.47528400007683 17.47528400007683
19.630406500402724 19.630406500402724
22.051307399030456 22.051307399030453
24.77076355991709 24.770763559917086
27.825594022071257 27.825594022071257
31.25715849688235 31.257158496882354
35.11191734215127 35.11191734215127
39.442060594376564 39.44206059437657
44.30621457583877 44.306214575838766
49.770235643321136 49.770235643321136
55.90810182512222 55.90810182512222
62.80291441834247 62.80291441834247
70.54802310718645 70.54802310718647
79.24828983539169 79.24828983539167
89.02150854450393 89.02150854450393
100.0 100.00000000000001
