nu*k**2 sigma
0.001 2.508924626696275
0.0011233240329780276 2.566189165345555
0.0012618568830660211 2.624640089120772
0.0014174741629268048 2.6842969219712485
0.0015922827933410922 2.745180152575208
0.001788649529057435 2.8073111516800533
0.002009233002565048 2.8707120736753002
0.002257019719633919 2.9354057702233667
0.0025353644939701114 3.0014157314240753
0.002848035868435802 3.068766058215942
0.0031992671377973846 3.137481461156667
0.003593813663804626 3.2075872764840963
0.004037017258596553 3.279109490085982
0.004534878508128582 3.3520747623723763
0.0050941380148163806 3.4265104504029407
0.00572236765935022 3.5024446266025335
0.006428073117284319 3.579906095246494
0.007220809018385464 3.658924408502769
0.008111308307896872 3.7395298835153454
0.009111627561154887 3.821753621279349
0.010235310218990263 3.9056275272561134
0.011497569953977356 3.991184332919699
0.01291549665014884 4.078457616562959
0.014508287784959394 4.167481820361867
0.016297508346206444 4.258292258403477
0.01830738280295368 4.350925106542983
0.020565123083486514 4.445417358954158
0.02310129700083159 4.5418067275283045
0.02595024211399736 4.640131448572891
0.029150530628251757 4.7404299468381375
0.03274549162877728 4.842740290961784
0.036783797718286326 4.947099359426414
0.04132012400115337 5.053541625904425
0.046415888336127795 5.162097472391893
0.052140082879996844 5.272790953189051
0.05857020818056667 5.385636967184897
0.0657933224657568 5.500637852410793
0.07390722033525779 5.6177794941235675
0.08302175681319744 5.737027129789835
0.093260334688322 5.858321130535955
0.10476157527896651 5.9815731243993975
0.11768119524349979 6.106662885880218
0.13219411484660287 6.233436433861011
0.1484968262254465 6.361705745311063
0.1668100537200059 6.4912504017880215
0.1873817422860383 6.621821344840819
0.21049041445120198 6.75314673909097
0.23644894126454072 6.884939749250901
0.26560877829466867 7.016907854683914
0.298364724028334 7.148763176921838
0.3351602650938841 7.280233201609762
0.37649358067924676 7.41107124812
0.4229242874389499 7.541066078952646
0.4750810162102798 7.670050138555574
0.5336699231206307 7.797906051181705
0.5994842503189409 7.924571169386947
0.6734150657750821 8.05004012780531
0.7564633275546291 8.174365502841866
0.8497534359086438 8.297656794984972
0.9545484566618337 8.420078029759718
1.072267222010323 8.541844314959743
1.2045035402587825 8.663217699393563
1.3530477745798062 8.784502658679347
1.5199110829529332 8.90604149469818
1.7073526474706904 9.02820988521636
1.9179102616724888 9.151412765947324
2.1544346900318843 9.276080674430247
2.420128264794381 9.402666637340012
2.71858824273294 9.531643642410284
3.0538555088334154 9.663502703935562
3.4304692863149193 9.798751506736606
3.8535285937105273 9.937913596802378
4.328761281083057 10.081528076484096
4.862601580065354 10.230149756899229
5.462277217684343 10.384349718911341
6.13590727341317 10.544716235603333
6.892612104349695 10.711856012636614
7.742636826811269 10.886395707543393
8.697490026177835 11.068983694261242
9.770099572992246 11.260292044667544
10.974987654930567 11.461018704214911
12.32846739442066 11.671889843816983
13.848863713938718 11.893662374778025
15.556761439304722 12.127126617746576
17.47528400007683 12.373109120393874
19.630406500402724 12.632475621787925
22.051307399030456 12.906134164289213
24.77076355991709 13.195038356277964
27.825594022071257 13.500190791183416
31.25715849688235 13.822646630171786
35.11191734215127 14.163517357508013
39.442060594376564 14.52397471907946
44.30621457583877 14.905254855897947
49.770235643321136 15.30866264561344
55.90810182512222 15.735576266208895
62.80291441834247 16.187451997129514
70.54802310718645 16.665829274150703
79.24828983539169 17.172336015330547
89.02150854450393 17.708694236439445
100.0 18.276725975326347
