T/T_f gamma
0.001 0.0065182338675947105
0.0010722672220103231 0.007487076468830041
0.0011497569953977356 0.008598677346274074
0.0012328467394420659 0.00987367497946436
0.0013219411484660286 0.01133556552244288
0.0014174741629268048 0.013011058440588853
0.0015199110829529332 0.014930463495981476
0.0016297508346206436 0.01712810740538798
0.001747528400007683 0.01964277652669502
0.001873817422860383 0.022518179271807943
0.002009233002565048 0.025803418437902664
0.0021544346900318843 0.029553459123860138
0.0023101297000831605 0.0338295721854002
0.0024770763559917113 0.038699726135103855
0.0026560877829466868 0.0442388919254059
0.002848035868435802 0.05052921518832578
0.0030538555088334154 0.05765999945414564
0.0032745491628777285 0.06572743212145776
0.003511191734215131 0.07483397338858344
0.0037649358067924675 0.08508731839177619
0.004037017258596553 0.0965988364836204
0.004328761281083057 0.10948139169813825
0.004641588833612782 0.1238464584475361
0.004977023564332114 0.13980047031601403
0.005336699231206312 0.1574403813904261
0.00572236765935022 0.17684848199333508
0.006135907273413176 0.19808659502279227
0.006579332246575682 0.22118988289464103
0.007054802310718645 0.2461606108387157
0.007564633275546291 0.27296232645524693
0.008111308307896872 0.30151500842065854
0.008697490026177835 0.3316917853346002
0.0093260334688322 0.3633178051595916
0.01 0.39617172876034057
0.010722672220103232 0.4299901227935261
0.011497569953977356 0.4644747511149203
0.012328467394420659 0.4993024435671914
0.013219411484660293 0.5341369062584156
0.014174741629268055 0.5686415843595818
0.01519911082952934 0.6024925460393074
0.016297508346206444 0.6353903532582618
0.01747528400007684 0.6670700223596212
0.01873817422860384 0.6973084268931296
0.02009233002565047 0.7259288084737682
0.021544346900318846 0.7528023825941836
0.023101297000831605 0.7778473049360989
0.024770763559917114 0.8010254654882166
0.026560877829466867 0.8223376883874219
0.02848035868435802 0.8418179391181715
0.030538555088334154 0.85952709490918
0.03274549162877728 0.8755467425065788
0.03511191734215131 0.8899733537823282
0.037649358067924674 0.9029130736425605
0.04037017258596556 0.9144772502488522
0.04328761281083059 0.9247787523727541
0.046415888336127795 0.9339290554039121
0.049770235643321115 0.9420360351742376
0.0533669923120631 0.9492023843032631
0.05722367659350217 0.9555245552961915
0.06135907273413173 0.9610921341883284
0.06579332246575682 0.9659875546427242
0.07054802310718646 0.9702860722704615
0.07564633275546291 0.9740559304725397
0.08111308307896872 0.9773586608646812
0.08697490026177834 0.9802494724374757
0.093260334688322 0.9827776935216077
0.1 0.9849872391532802
0.10722672220103231 0.9869170835379728
0.11497569953977356 0.9886017230747844
0.12328467394420659 0.9900716199730104
0.13219411484660287 0.9913536200361611
0.14174741629268048 0.9924713408771985
0.1519911082952933 0.993445528821782
0.16297508346206452 0.9942943841951698
0.1747528400007685 0.9950338556939528
0.1873817422860385 0.9956779052164829
0.2009233002565048 0.9962387449473679
0.21544346900318845 0.9967270487269161
0.23101297000831605 0.9971521398371144
0.24770763559917114 0.997522157341138
0.26560877829466867 0.997844203053719
0.2848035868435802 0.9981244711175513
0.30538555088334157 0.9983683620330739
0.32745491628777285 0.9985805828475899
0.3511191734215131 0.9987652350634342
0.37649358067924676 0.9989258916797958
0.40370172585965536 0.9990656646428442
0.4328761281083057 0.9991872638465477
0.4641588833612782 0.999293048703495
0.49770235643321137 0.9993850731918215
0.5336699231206312 0.9994651251811961
0.572236765935022 0.9995347607475417
0.6135907273413176 0.9995953341023015
0.6579332246575682 0.9996480236870677
0.7054802310718645 0.9996938549175793
0.7564633275546291 0.9997337200018064
0.8111308307896873 0.9997683952043503
0.8697490026177834 0.9997985558830668
0.9326033468832199 0.9998247895829911
1.0 0.999847607436757
