nu*k**2 sigma
0.001 0.0011097748136816336
0.0011233240329780276 0.0012600055529370924
0.0012618568830660211 0.0014318045581461197
0.0014174741629268048 0.0016284679311830627
0.0015922827933410922 0.0018538132895346213
0.001788649529057435 0.0021122595397416472
0.002009233002565048 0.0024089171980708106
0.002257019719633919 0.0027496903097929764
0.0025353644939701114 0.003141391144131671
0.002848035868435802 0.003591869027603566
0.0031992671377973846 0.004110154943764402
0.003593813663804626 0.004706623889004832
0.004037017258596553 0.0053931774411006255
0.004534878508128582 0.006183449565911967
0.0050941380148163806 0.007093039336378169
0.00572236765935022 0.00813977492391868
0.006428073117284319 0.009344013880798302
0.007220809018385464 0.010728985279062542
0.008111308307896872 0.012321179611026176
0.009111627561154887 0.014150792389178572
0.010235310218990263 0.016252227020562535
0.011497569953977356 0.018664661705271233
0.01291549665014884 0.02143268378821794
0.014508287784959394 0.024606993190342055
0.016297508346206444 0.028245174326121197
0.01830738280295368 0.03241253340490893
0.020565123083486514 0.03718299540328726
0.02310129700083159 0.042640052533903676
0.02595024211399736 0.04887775402229698
0.029150530628251757 0.0560017257632331
0.03274549162877728 0.06413020827946252
0.036783797718286326 0.07339510260920457
0.04132012400115337 0.08394301645456186
0.046415888336127795 0.09593630712379661
0.052140082879996844 0.10955412330234372
0.05857020818056667 0.12499345411621912
0.0657933224657568 0.14247020079822756
0.07390722033525779 0.16222029297239704
0.08302175681319744 0.18450087763082945
0.093260334688322 0.20959161394359715
0.10476157527896651 0.23779611100103126
0.11768119524349979 0.269443548574136
0.13219411484660287 0.3048905233386161
0.1484968262254465 0.34452316520696885
0.1668100537200059 0.38875957092184893
0.1873817422860383 0.4380526052498616
0.21049041445120198 0.492893124170832
0.23644894126454072 0.5538136793838463
0.26560877829466867 0.6213927690930484
0.298364724028334 0.6962597061606673
0.3351602650938841 0.7791001811056576
0.37649358067924676 0.8706626039688302
0.4229242874389499 0.9717653158016268
0.4750810162102798 1.0833047676819232
0.5336699231206307 1.206264773084637
0.5994842503189409 1.3417269486093044
0.6734150657750821 1.490882469005097
0.7564633275546291 1.6550452756351868
0.8497534359086438 1.835666893428786
0.9545484566618337 2.034353030345599
1.072267222010323 2.2528821557127143
1.2045035402587825 2.4932262797208287
1.3530477745798062 2.7575741860909067
1.5199110829529332 3.0483574036577137
1.7073526474706904 3.368279240616307
1.9179102616724888 3.720347247762639
2.1544346900318843 4.107909524637837
2.420128264794381 4.5346953355683075
2.71858824273294 5.004860561801779
3.0538555088334154 5.523038582011511
3.4304692863149193 6.094397247238165
3.8535285937105273 6.724702698848928
4.328761281083057 7.420390870439349
4.862601580065354 8.188647618050304
5.462277217684343 9.037498539043195
6.13590727341317 9.975909670063366
6.892612104349695 11.013900400509707
7.742636826811269 12.16267010181329
8.697490026177835 13.434740156846889
9.770099572992246 14.844113280443718
10.974987654930567 16.406452254107045
12.32846739442066 18.139280458689495
13.848863713938718 20.06220688164685
15.556761439304722 22.197178604387922
17.47528400007683 24.568764144703497
19.630406500402724 27.20447144426064
22.051307399030456 30.135104757303967
24.77076355991709 33.39516522032272
27.825594022071257 37.02330047059393
31.25715849688235 41.06280934215869
35.11191734215127 45.56220840985925
39.442060594376564 50.575867985593966
44.30621457583877 56.16472610721126
49.770235643321136 62.397090112123486
55.90810182512222 69.34953656899387
62.80291441834247 77.10792166772976
70.54802310718645 85.76851565842739
79.24828983539169 95.43927660404103
89.02150854450393 106.24128059203032
100.0 118.31032766250415
