T/T_f gamma
0.001 1
0.0010722672220103231 1
0.0011497569953977356 1
0.0012328467394420659 1
0.0013219411484660286 1
0.0014174741629268048 1
0.0015199110829529332 1
0.0016297508346206436 1
0.001747528400007683 1
0.001873817422860383 1
0.002009233002565048 1
0.0021544346900318843 1
0.0023101297000831605 1
0.0024770763559917113 1
0.0026560877829466868 1
0.002848035868435802 1
0.0030538555088334154 1
0.0032745491628777285 1
0.003511191734215131 1
0.0037649358067924675 1
0.004037017258596553 1
0.004328761281083057 1
0.004641588833612782 1
0.004977023564332114 1
0.005336699231206312 1
0.00572236765935022 1
0.006135907273413176 1
0.006579332246575682 1
0.007054802310718645 1
0.007564633275546291 1
0.008111308307896872 1
0.008697490026177835 1
0.0093260334688322 1
0.01 1
0.010722672220103232 1
0.011497569953977356 1
0.012328467394420659 1
0.013219411484660293 1
0.014174741629268055 1
0.01519911082952934 1
0.016297508346206444 1
0.01747528400007684 1
0.01873817422860384 1
0.02009233002565047 1
0.021544346900318846 1
0.023101297000831605 1
0.024770763559917114 1
0.026560877829466867 1
0.02848035868435802 1
0.030538555088334154 1
0.03274549162877728 1
0.03511191734215131 1
0.037649358067924674 1
0.04037017258596556 1
0.04328761281083059 1
0.046415888336127795 1
0.049770235643321115 1
0.0533669923120631 1
0.05722367659350217 1
0.06135907273413173 1
0.06579332246575682 1
0.07054802310718646 1
0.07564633275546291 1
0.08111308307896872 1
0.08697490026177834 1
0.093260334688322 1
0.1 1
0.10722672220103231 1
0.11497569953977356 1
0.12328467394420659 1
0.13219411484660287 1
0.14174741629268048 1
0.1519911082952933 1
0.16297508346206452 1
0.1747528400007685 1
0.1873817422860385 1
0.2009233002565048 1
0.21544346900318845 1
0.23101297000831605 1
0.24770763559917114 1
0.26560877829466867 1
0.2848035868435802 1
0.30538555088334157 1
0.32745491628777285 1
0.3511191734215131 1
0.37649358067924676 1
0.40370172585965536 1
0.4328761281083057 1
0.4641588833612782 1
0.49770235643321137 1
0.5336699231206312 1
0.572236765935022 1
0.6135907273413176 1
0.6579332246575682 1
0.7054802310718645 1
0.7564633275546291 1
0.8111308307896873 1
0.8697490026177834 1
0.9326033468832199 1
1.0 1
